building,roomNumber,occupancy,apartmentRate,y2006,y2007,y2008,y2009,y2010,y2011,b0,b1
"Wayland House",313,1,,215,312,229,258,173,244,10.2424557146335,-0.042855615503871
"Wayland House",337,1,,215,,,,,246,27.0361507823237,-0.117039613776294
"Wayland House",346,1,,215,287,181,213,102,220,6.66691058144213,-0.0327675820483852
"Metcalf",322,1,,216,93,57,128,180,164,4.66107583583059,-0.0333220781120653
"Metcalf",323,1,,216,184,57,209,174,248,5.40204904471765,-0.029733894227607
"Metcalf",325,1,,216,,158,211,106,245,6.87885477151732,-0.0366537161075151
"Marcy House",303,1,,217,,,,,,5073.90239019529,-23.3282866799023
"Hope College",414,1,,218,162,358,293,210,209,6.76512509316813,-0.0279406385005034
"Gregorian Quad B",203,4,1,219,105,153,289,249,273,5.8962801122178,-0.027416245585721
"Archibald House",307,1,,220,233,,310,242,296,13.1669785468937,-0.050506254346272
"Poland House",332,1,,221,228,208,194,242,,24.1069084815727,-0.110026967054342
"Poland House",319,1,,221,318,204,105,242,296,6.04601392958799,-0.0261270189559556
"Metcalf",215,1,,221,54,,,,198,3.72014816893332,-0.0236735590955402
"Hope College",406,1,,222,165,297,268,206,157,7.84998708877508,-0.0357377104960452
"Hope College",316,1,,224,159,344,264,44,183,3.82592721927163,-0.0189072100331567
"Young Orchard #10",120,4,1,225,267,287,237,188,127,7.64171838464396,-0.0343727428523299
"Metcalf",309,1,,227,172,175,80,182,202,6.87858381752449,-0.0396520657905228
"Metcalf",211,1,,228,75,,,,153,4.31756148408012,-0.0283999557374969
"Minden",812,2,,229,115,93,49,88,99,3.46311095919433,-0.0310157018839667
"Gregorian Quad B",304,4,1,230,117,194,235,289,271,7.19215552003576,-0.0322311561638195
"Metcalf",225,1,,231,,,,,275,20.9017147305235,-0.0824525235952242
"Poland House",210,1,,232,330,338,349,397,362,11.9949358024074,-0.0357879861681829
"Young Orchard #10",110,4,1,233,275,287,162,197,127,6.70709356551939,-0.0313473553013095
"Gregorian Quad A",207,5,1,234,61,,,76,282,2.79841047753274,-0.0174531761329455
"Wayland House",237,1,,234,273,273,216,198,231,15.595675491129,-0.0655280490139657
"Minden",407,2,,235,192,254,255,60,366,4.41513530684466,-0.0194601271942511
"New Pembroke #4",227,1,,236,170,321,70,164,130,4.02484827759238,-0.0221722623895744
"Gregorian Quad B",102,4,1,237,318,,390,348,364,11.4322692266992,-0.0344449448242283
"Hegeman C",307,3,,238,,293,315,96,95,3.82780678462299,-0.0185157148032186
"Hegeman C",308,3,,238,336,275,317,347,176,8.5225332598451,-0.0302224543059192
"Minden",207,2,,239,277,147,392,14,386,3.06653281886909,-0.0127973563784933
"Archibald House",306,1,,241,356,384,526,391,,7.54628256577181,-0.0198509352356425
"Marcy House",215,1,,242,,128,,,,5.86449458204877,-0.031630048040341
"Minden",801,3,,243,445,370,453,429,443,9.70644316592309,-0.0244071808213724
"Mead House",223,1,,244,326,,342,381,315,13.0447634119144,-0.0404991163816183
"Metcalf",404,1,,245,,,200,,,17.9782450237447,-0.0806199329143886
"Metcalf",111,1,,246,89,130,243,218,270,5.41075216956909,-0.0270989315774416
"Gregorian Quad B",105,4,1,247,,294,328,345,371,13.3891686775033,-0.0421706145712607
"Gregorian Quad B",106,4,1,247,79,294,396,302,331,5.00151410549841,-0.0181883945091668
"Young Orchard #10",410,4,1,248,150,260,159,142,398,4.46993472977611,-0.0197706646014586
"Sears House",311,1,,249,,,,,,5871.92376495685,-23.5347644696601
"Olney House",324,1,,250,,388,371,,,9.94146803239608,-0.0295145793695423
"Goddard House",116,1,,251,372,,,,,9.35095237682876,-0.0299712575026318
"Young Orchard #10",430,4,1,252,239,162,118,184,405,4.38895925151893,-0.0193748454893614
"Wayland House","400A",7,1,253,264,372,330,331,324,13.753160975234,-0.0439632243656308
"Gregorian Quad B",210,4,1,254,258,290,352,286,148,7.84643219745119,-0.0295920552388539
"Gregorian Quad A",212,4,1,255,255,286,140,299,329,7.92265277943876,-0.0303370227773928
"Metcalf",313,1,,256,,95,94,150,243,4.23981159114528,-0.0253081384669304
"Gregorian Quad B",301,4,1,257,309,138,336,280,310,7.61375858387811,-0.0279764350071655
"Young Orchard #10",420,4,1,258,243,162,159,168,400,4.87776621987333,-0.0210425649783015
"Sears House",222,1,,258,315,,373,181,,7.19880854182251,-0.025507692296132
"Miller",115,1,,259,,,,,161,7.78282636805475,-0.0369750633691073
"Metcalf",104,1,,260,2,130,215,159,230,3.33918080283104,-0.0202664412553885
"Gregorian Quad B",307,5,1,261,153,99,122,370,263,3.892257800319,-0.0184698324235116
"Metcalf",302,1,,262,,79,181,237,333,4.57165381720788,-0.0209319575493514
"Gregorian Quad B",107,5,1,263,271,279,227,296,247,21.5993211069177,-0.0817124379848895
"Young Orchard #10",440,4,1,264,,264,282,142,415,5.68565312864392,-0.0207700930203969
"Gregorian Quad A",208,5,1,265,86,202,,245,276,5.59842057999844,-0.0260202619203872
"Sears House",220,1,,266,,164,373,181,,5.33819450018217,-0.0216754096214404
"Sears House",309,1,,267,138,,336,,,5.41742013128396,-0.0219064903009998
"Sears House",310,1,,267,161,,372,,239,6.21739576555893,-0.0238977339425145
"Gregorian Quad A",214,4,1,268,272,291,313,326,345,19.5925286285332,-0.0646618106657559
"Gregorian Quad A",209,4,1,268,217,304,384,336,329,10.4911699768157,-0.0341918419727834
"Miller",117,1,,269,,,134,194,,6.52848206344092,-0.0327316599091273
"Miller",119,1,,269,,,32,,227,2.8205391980803,-0.0163096793216031
"Minden",707,2,,270,226,328,428,128,214,5.04382599715779,-0.0189733340315061
"Metcalf",412,1,,271,,225,201,,,14.5411237846028,-0.0624529317848326
"Metcalf",209,1,,272,202,,,,103,4.97345408540641,-0.0258276733879522
"Metcalf",208,1,,273,119,,,,160,5.07222489721591,-0.0275260658714612
"Metcalf",210,1,,273,49,,,,160,2.93612250983742,-0.0185414082995355
"Mead House",231,1,,274,210,,383,381,365,8.47029415014339,-0.0262162114643693
"Hegeman E",113,3,,275,288,,244,315,301,21.3081031191717,-0.0747390498763581
"Minden",212,3,,276,448,585,598,620,625,6.78258906316287,-0.012695257066461
"Hegeman A",201,3,,277,227,233,164,153,,8.29082626666091,-0.039238438192767
"Metcalf",206,1,,278,49,,,,160,2.8911711922261,-0.0180897525873907
"Gregorian Quad A",402,4,1,279,244,258,344,322,325,14.4662747804419,-0.0489000855624895
"Gregorian Quad A",404,4,1,279,144,212,344,246,325,6.90631336703213,-0.0266863638175726
"Metcalf",109,1,,280,10,130,243,189,270,3.41385747176767,-0.0183811310429362
"Gregorian Quad B",305,4,1,281,303,,,,,48.2471909104352,-0.164947661232256
"Hegeman D",309,3,,283,336,292,298,334,,25.3855538484335,-0.0821273175297338
"Gregorian Quad A",403,4,1,284,313,305,239,322,306,19.4945066622778,-0.0660084875817348
"Slater Hall",401,3,,285,299,325,345,364,322,22.230021338804,-0.0686464889522157
"Slater Hall",402,2,,285,320,491,515,154,132,3.64886650985547,-0.0115697711744745
"Goddard House",338,1,,285,,336,,,,22.1226568839257,-0.0711339449652075
"Metcalf",218,1,,286,,,,,295,117.534448629423,-0.40389844889836
"Sears House","400A",7,1,287,500,125,517,,537,4.0850801185133,-0.0103154311233083
"Gregorian Quad A",302,4,1,288,304,251,338,295,318,20.1809634990398,-0.0673821819726745
"Gregorian Quad A",312,4,1,288,259,107,299,279,262,6.94422912591041,-0.0278364847954001
"Grad Center A",640,6,,289,699,589,559,402,396,5.8640328128494,-0.0118199446192051
"Metcalf",413,1,,289,,263,208,,,13.6350459689196,-0.0537165352557681
"Metcalf",418,1,,289,,242,196,,,11.6005472950466,-0.0477716815769504
"Metcalf",419,1,,289,,174,231,,,8.95295121001216,-0.0386186184925906
